blank,,,,,50 ul10_3,,50 ul10_4,,50 ul10_5,,50 ul10_6,,50 ul10_7,,50 ul10_8,,50 ul10_9,,50 ul10_10,,50 ul10_11,,50 ul10_12,,50 ul10_13,,50 ul10_14,,50 ul10_15,,50 ul10_16,,50 ul10_17,,50 ul10_18,,50 ul10_19,,50 ul10_20,,50 ul10_21,,50 ul10_22,,50 ul10_23,,50 ul10_24,,,Wavelength (nm),Abs,Abs,Abs,Abs,Abs,Abs,Abs,Abs,Abs
Wavelength (nm),Abs,Abs,Abs,Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,,799.9904175,0.002851621,0.001112942,0.002207513,0.001254692,0.001485337,0.002947285,0.001837956,0.001519469,0.001141517
791.0023804,0.000705344,0.00155389,0.002215865,0.001815705,791.0023804,0.001775727,791.0023804,0.002221719,791.0023804,0.000502841,791.0023804,0.002086313,791.0023804,0.002633713,791.0023804,0.002873352,791.0023804,0.002282841,791.0023804,0.00185774,791.0023804,0.001035897,791.0023804,0.00119714,791.0023804,0.001916367,791.0023804,0.001979656,791.0023804,0.001694951,791.0023804,0.00177266,791.0023804,0.001357379,791.0023804,0.001471727,791.0023804,0.000989945,791.0023804,0.002446371,791.0023804,0.002042851,791.0023804,0.002456159,791.0023804,0.001266192,791.0023804,0.001648671,,789.9940796,0.001890315,0.001742302,0.00223897,0.001427703,0.001744434,0.002217634,0.001453467,0.001828286,0.001354756
789.9940796,-3.03E-05,0.002387568,0.001890315,0.00132004,789.9940796,0.002043657,789.9940796,0.001742302,789.9940796,0.000820739,789.9940796,0.002424869,789.9940796,0.00223897,789.9940796,0.00100323,789.9940796,0.001113176,789.9940796,0.001427703,789.9940796,0.001767565,789.9940796,0.001304384,789.9940796,0.001744434,789.9940796,0.000974457,789.9940796,0.001108946,789.9940796,0.002217634,789.9940796,0.00156093,789.9940796,0.000665261,789.9940796,0.001453467,789.9940796,0.00174932,789.9940796,0.001418639,789.9940796,0.001828286,789.9940796,0.001997001,789.9940796,0.001354756,,788.9852295,0.002666138,0.001854178,0.001239712,0.001546538,0.001616893,0.002064594,0.00104202,0.002105405,0.00224139
788.9852295,-0.000762294,0.002780805,0.002666138,0.002590926,788.9852295,0.001922061,788.9852295,0.001854178,788.9852295,0.003229891,788.9852295,0.001796729,788.9852295,0.001239712,788.9852295,0.002124394,788.9852295,0.001214091,788.9852295,0.001546538,788.9852295,0.002209933,788.9852295,0.000910068,788.9852295,0.001616893,788.9852295,0.002566552,788.9852295,0.001702903,788.9852295,0.002064594,788.9852295,0.000741619,788.9852295,0.001914495,788.9852295,0.00104202,788.9852295,0.002408418,788.9852295,0.001701552,788.9852295,0.002105405,788.9852295,0.001390488,788.9852295,0.00224139,,788.0108643,0.002171376,0.00116254,0.001424119,0.002634025,0.001819188,0.003508272,0.002851777,0.001859117,0.002044074
788.0108643,0.00024407,0.002143852,0.002171376,0.002436583,788.0108643,0.002524344,788.0108643,0.00116254,788.0108643,0.001686116,788.0108643,0.002798625,788.0108643,0.001424119,788.0108643,0.002262883,788.0108643,0.002426144,788.0108643,0.002634025,788.0108643,0.001717743,788.0108643,0.001159893,788.0108643,0.001819188,788.0108643,0.002370962,788.0108643,0.002639625,788.0108643,0.003508272,788.0108643,0.001711895,788.0108643,0.002781873,788.0108643,0.002851777,788.0108643,0.002678614,788.0108643,0.00290431,788.0108643,0.001859117,788.0108643,0.002830151,788.0108643,0.002044074,,787.0013428,0.002697498,0.001556488,0.001957605,0.000878656,0.001899831,0.003170096,0.001948062,0.002242977,0.001578648
787.0013428,-0.000324437,0.002122573,0.002697498,0.001765356,787.0013428,0.001545239,787.0013428,0.001556488,787.0013428,0.00214406,787.0013428,0.00205185,787.0013428,0.001957605,787.0013428,0.001787943,787.0013428,0.001053282,787.0013428,0.000878656,787.0013428,0.001978876,787.0013428,0.000513752,787.0013428,0.001899831,787.0013428,0.003000533,787.0013428,0.001282626,787.0013428,0.003170096,787.0013428,0.002114379,787.0013428,0.001714052,787.0013428,0.001948062,787.0013428,0.001313315,787.0013428,0.000971136,787.0013428,0.002242977,787.0013428,0.00182956,787.0013428,0.001578648,,785.991333,0.000222599,0.00106976,1.09E-06,0.001204876,0.001548096,0.000480062,0.000831606,0.000657561,0.000651028
785.991333,-0.001715539,0.001979422,0.000222599,-0.000281807,785.991333,0.000869033,785.991333,0.00106976,785.991333,0.000190537,785.991333,0.001038388,785.991333,1.09E-06,785.991333,0.001618296,785.991333,0.000618779,785.991333,0.001204876,785.991333,0.000987169,785.991333,0.000274711,785.991333,0.001548096,785.991333,0.001771412,785.991333,-0.000120715,785.991333,0.000480062,785.991333,0.001038569,785.991333,0.000610587,785.991333,0.000831606,785.991333,0.000189035,785.991333,0.000627281,785.991333,0.000657561,785.991333,-0.00017987,785.991333,0.000651028,,785.0158691,0.001339488,0.000185927,0.000920704,0.002643688,0.001654127,0.001607435,0.002046232,0.001288909,0.001450351
785.0158691,0.000562763,0.001687051,0.001339488,0.003192365,785.0158691,0.001507052,785.0158691,0.000185927,785.0158691,0.001814743,785.0158691,0.002150174,785.0158691,0.000920704,785.0158691,0.002047247,785.0158691,0.001763121,785.0158691,0.002643688,785.0158691,0.001166485,785.0158691,0.002206394,785.0158691,0.001654127,785.0158691,0.0017337,785.0158691,0.002067663,785.0158691,0.001607435,785.0158691,0.001512404,785.0158691,0.001790621,785.0158691,0.002046232,785.0158691,0.00166621,785.0158691,0.001880357,785.0158691,0.001288909,785.0158691,0.002343946,785.0158691,0.001450351,,784.0050659,0.002251954,0.002613764,0.00227428,0.00247532,0.003056421,0.002249664,0.003739883,0.002854513,0.003126239
784.0050659,0.001647111,0.002409016,0.002251954,0.002525542,784.0050659,0.002293355,784.0050659,0.002613764,784.0050659,0.003130046,784.0050659,0.002589754,784.0050659,0.00227428,784.0050659,0.002663039,784.0050659,0.002642724,784.0050659,0.00247532,784.0050659,0.002732272,784.0050659,0.001828338,784.0050659,0.003056421,784.0050659,0.002215579,784.0050659,0.002694737,784.0050659,0.002249664,784.0050659,0.00216802,784.0050659,0.002356491,784.0050659,0.003739883,784.0050659,0.003383786,784.0050659,0.002328019,784.0050659,0.002854513,784.0050659,0.003281062,784.0050659,0.003126239,,782.9938965,0.003172078,0.001803539,0.001882775,0.001691027,0.002065401,0.001734194,0.001562489,0.002476491,0.002335384
782.9938965,0.001077389,0.00283273,0.003172078,0.002274254,782.9938965,0.0030748,782.9938965,0.001803539,782.9938965,0.001325233,782.9938965,0.001258041,782.9938965,0.001882775,782.9938965,0.001295582,782.9938965,0.001393604,782.9938965,0.001691027,782.9938965,0.00142869,782.9938965,0.001728034,782.9938965,0.002065401,782.9938965,0.002132146,782.9938965,0.001605279,782.9938965,0.001734194,782.9938965,0.002328929,782.9938965,0.001532172,782.9938965,0.001562489,782.9938965,0.002117084,782.9938965,0.000326286,782.9938965,0.002476491,782.9938965,0.002937355,782.9938965,0.002335384,,782.017334,0.001777754,0.000111868,0.002552621,0.000806293,0.000899614,0.001434612,0.001364961,0.001301242,0.001767358
782.017334,-0.00082131,0.000675683,0.001777754,0.001721875,782.017334,0.000887189,782.017334,0.000111868,782.017334,0.001725747,782.017334,0.001448844,782.017334,0.002552621,782.017334,0.001928951,782.017334,0.001704904,782.017334,0.000806293,782.017334,0.001680269,782.017334,0.001828624,782.017334,0.000899614,782.017334,0.001539757,782.017334,0.001266841,782.017334,0.001434612,782.017334,0.002940118,782.017334,0.001633938,782.017334,0.001364961,782.017334,0.002306392,782.017334,0.002062306,782.017334,0.001301242,782.017334,0.002063346,782.017334,0.001767358,,781.0053711,0.001846613,0.001179438,0.002507993,0.001815939,0.001760808,0.000714574,0.001580389,0.000637184,0.001589378
781.0053711,-0.00048266,0.002282009,0.001846613,0.001834161,781.0053711,0.002510858,781.0053711,0.001179438,781.0053711,0.001446221,781.0053711,0.002079342,781.0053711,0.002507993,781.0053711,0.002158941,781.0053711,0.002778721,781.0053711,0.001815939,781.0053711,0.003141987,781.0053711,0.000231767,781.0053711,0.001760808,781.0053711,0.001539524,781.0053711,0.001679827,781.0053711,0.000714574,781.0053711,0.002029561,781.0053711,0.00173934,781.0053711,0.001580389,781.0053711,0.000490505,781.0053711,0.001492844,781.0053711,0.000637184,781.0053711,0.002216906,781.0053711,0.001589378,,779.993042,0.002383404,0.0023085,0.002039938,0.001386956,0.001940652,0.001361274,0.002355788,0.001192987,0.002098538
779.993042,0.000514322,0.001911297,0.002383404,0.00229947,779.993042,0.002559912,779.993042,0.0023085,779.993042,0.00163994,779.993042,0.001901573,779.993042,0.002039938,779.993042,0.000819364,779.993042,0.001840504,779.993042,0.001386956,779.993042,0.002454051,779.993042,0.002198199,779.993042,0.001940652,779.993042,0.002030757,779.993042,0.00185254,779.993042,0.001361274,779.993042,0.001539757,779.993042,0.001904095,779.993042,0.002355788,779.993042,0.001543472,779.993042,0.00121705,779.993042,0.001192987,779.993042,0.001216193,779.993042,0.002098538,,779.0152588,0.002352275,0.002399776,0.001771828,0.002313029,0.001668445,0.002775933,0.001933241,0.001355561,0.00261879
779.0152588,0.000735655,0.002770931,0.002352275,0.00259879,779.0152588,0.003218495,779.0152588,0.002399776,779.0152588,0.001301527,779.0152588,0.001937479,779.0152588,0.001771828,779.0152588,0.00110648,779.0152588,0.001913922,779.0152588,0.002313029,779.0152588,0.002106289,779.0152588,0.002119113,779.0152588,0.001668445,779.0152588,0.001722784,779.0152588,0.001235377,779.0152588,0.002775933,779.0152588,0.002528198,779.0152588,0.002608061,779.0152588,0.001933241,779.0152588,0.001775545,779.0152588,0.002248545,779.0152588,0.001355561,779.0152588,0.001696225,779.0152588,0.00261879,,778.0021973,0.001476324,0.002345534,0.002173613,0.001439988,0.002672728,0.000997781,0.000975261,0.001513287,0.003051181
778.0021973,-0.000484367,0.002558506,0.001476324,0.002408235,778.0021973,0.002062592,778.0021973,0.002345534,778.0021973,0.002207643,778.0021973,0.001276421,778.0021973,0.002173613,778.0021973,0.001270762,778.0021973,0.002178686,778.0021973,0.001439988,778.0021973,0.001649918,778.0021973,0.001782511,778.0021973,0.002672728,778.0021973,0.001145696,778.0021973,0.001454818,778.0021973,0.000997781,778.0021973,0.002187662,778.0021973,0.002326197,778.0021973,0.000975261,778.0021973,0.000519946,778.0021973,0.001917953,778.0021973,0.001513287,778.0021973,0.00199154,778.0021973,0.003051181,,776.9886475,0.003440115,0.0033997,0.001982465,0.002959691,0.002329476,0.002553194,0.002124264,0.002835206,0.002513357
776.9886475,-0.000516377,0.004194432,0.003440115,0.002768561,776.9886475,0.002487894,776.9886475,0.0033997,776.9886475,0.002928703,776.9886475,0.00268971,776.9886475,0.001982465,776.9886475,0.002289555,776.9886475,0.0031617,776.9886475,0.002959691,776.9886475,0.001752984,776.9886475,0.002678328,776.9886475,0.002329476,776.9886475,0.003215939,776.9886475,0.001830184,776.9886475,0.002553194,776.9886475,0.003161204,776.9886475,0.002551137,776.9886475,0.002124264,776.9886475,0.002208684,776.9886475,0.002879242,776.9886475,0.002835206,776.9886475,0.002567437,776.9886475,0.002513357,,776.0097656,0.001918499,0.002229551,0.002086391,0.002576109,0.001651399,0.002543872,0.002506509,0.002193984,0.002295827
776.0097656,0.00210387,0.002684631,0.001918499,0.002104078,776.0097656,0.001216297,776.0097656,0.002229551,776.0097656,0.001204123,776.0097656,0.001297451,776.0097656,0.002086391,776.0097656,0.001955317,776.0097656,0.003162012,776.0097656,0.002576109,776.0097656,0.00284383,776.0097656,0.002084336,776.0097656,0.001651399,776.0097656,0.00164007,776.0097656,0.002680984,776.0097656,0.002543872,776.0097656,0.001655193,776.0097656,0.002222656,776.0097656,0.002506509,776.0097656,0.002498725,776.0097656,0.001431807,776.0097656,0.002193984,776.0097656,0.001167835,776.0097656,0.002295827,,774.9955444,0.002367266,0.001543576,0.002259916,0.00155802,0.002110243,0.003544625,0.002479563,0.002534707,0.002276674
